Title,Latitude,Longitude,Region,Country,Zone Type,Zone Specialization,Management Type,Management Company,SEZ Framework,Nearest Airport,Nearest Airport Distance (km),airportlat,airportlong,Capital City,Capital City Distance (km),capitallat,capitallong,Nearest Port,Nearest Port Distance (km),Note,URL,Populous City,Populous City Distance (km),portlat,portlong,Size (Hectares),size_class,Source,Status,ID,Created,Created By,Modified,Modified By
"Mazar-i-Sharif/Mazar Special Economic Zone","36.7091968","67.210768","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Mazar I Sharif Airport","0.3","36.7069016","67.2097015","Kabul","302.4","34.5167","69.1833","Termiz","55.2",,"http://recca.af/?page_id=2108","Mazar-e Sharif","9.9","37.19916","67.30259","No Information","1",,"Under Development","1","4/24/2021 6:57","fergal hourigan","11/19/2021 9:00","fergal hourigan"
"Balkh Special Economic Zone","36.7047484","67.2227598","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Mazar I Sharif Airport","1.2","36.7069016","67.2097015","Kabul","301.3","34.5167","69.1833","Termiz","55.5",,"http://recca.af/?page_id=2108","Mazar-e Sharif","11","37.19916","67.30259","No Information","1",,"Under Development","2","4/24/2021 6:57","fergal hourigan","11/19/2021 9:11","fergal hourigan"
"Kunduz Special Economic Zone","36.6638758","68.9017691","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Qurghonteppa International Airport","133.9","37.8664017","68.8647003","Kabul","240.4","34.5167","69.1833","Nijniy Pyanj","65",,"http://recca.af/?page_id=2108","Kunduz","7.6","37.19448","68.59812","No Information","1",,"Under Development","3","4/24/2021 6:57","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Aqina Special Economic Zone","37.2283843","65.2637614","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Turkmenabat Airport","252","39.0833015","63.6133003","Kabul","464.8","34.5167","69.1833","Termiz","180.8",,"http://recca.af/?page_id=2108","Andkhoy","36","37.19916","67.30259","No Information","1",,"Under Development","4","4/24/2021 6:57","fergal hourigan","11/19/2021 9:10","fergal hourigan"
"Bagram Special Economic Zone","34.9361638","69.2505819","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Kabul International Airport","41.4","34.5658989","69.2123032","Kabul","47.1","34.5167","69.1833","Nijniy Pyanj","258.2",,"http://recca.af/?page_id=2108","Charikar","11.9","37.19448","68.59812","No Information","1",,"Under Development","5","4/24/2021 6:57","fergal hourigan","11/19/2021 9:05","fergal hourigan"
"Kabul Special Economic Zone","34.565791","69.2076369","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Kabul International Airport","0.4","34.5658989","69.2123032","Kabul","5.9","34.5167","69.1833","Nijniy Pyanj","297.7",,"http://recca.af/?page_id=2108","Kabul","5.9","37.19448","68.59812","No Information","1",,"Under Development","6","4/24/2021 6:57","fergal hourigan","11/19/2021 9:01","fergal hourigan"
"Jalalabad Special Economic Zone","34.4004535","70.4920471","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Peshawar International Airport","104.5","33.9939003","71.5146027","Kabul","120.8","34.5167","69.1833","Nijniy Pyanj","354.9",,"http://recca.af/?page_id=2108","Jalalabad","6.9","37.19448","68.59812","No Information","1",,"Under Development","7","4/24/2021 6:57","fergal hourigan","11/19/2021 9:01","fergal hourigan"
"Nangarhar Special Economic Zone","34.3978355","70.4900014","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Peshawar International Airport","104.5","33.9939003","71.5146027","Kabul","120.7","34.5167","69.1833","Nijniy Pyanj","355.1",,"http://recca.af/?page_id=2108","Jalalabad","6.9","37.19448","68.59812","No Information","1",,"Under Development","8","4/24/2021 6:57","fergal hourigan","11/19/2021 9:01","fergal hourigan"
"Gardez Special Economic Zone","33.6278392","69.2363565","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Kabul International Airport","104.4","34.5658989","69.2123032","Kabul","99.1","34.5167","69.1833","Nijniy Pyanj","401.2",,"http://recca.af/?page_id=2108","Gardez","3.7","37.19448","68.59812","No Information","1",,"Under Development","9","4/24/2021 6:57","fergal hourigan","11/19/2021 9:02","fergal hourigan"
"Toraghundi Special Economic Zone","35.2533246","62.27677","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Herat Airport","116.2","34.2099991","62.2282982","Kabul","635.9","34.5167","69.1833","Termiz","500.5",,"http://recca.af/?page_id=2108","Karukh","90.1","37.19916","67.30259","No Information","1",,"Under Development","10","4/24/2021 6:57","fergal hourigan","11/19/2021 9:14","fergal hourigan"
"Herat Special Economic Zone Special Economic Zone","34.2108029","62.2261474","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Herat Airport","0.2","34.2099991","62.2282982","Kabul","640.1","34.5167","69.1833","Termiz","566.6",,"http://recca.af/?page_id=2108","Herat","14.2","37.19916","67.30259","No Information","1",,"Under Development","11","4/24/2021 6:57","fergal hourigan","11/19/2021 9:15","fergal hourigan"
"Shīnḍanḍ Special Economic Zone","33.381121","62.238563","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Herat Airport","92.3","34.2099991","62.2282982","Kabul","653.5","34.5167","69.1833","Termiz","626.2",,"http://recca.af/?page_id=2108","Herat","105.8","37.19916","67.30259","No Information","1",,"Under Development","12","4/24/2021 6:57","fergal hourigan","11/19/2021 9:15","fergal hourigan"
"Kandahar/Qandahar Special Economic Zone","31.5023157","65.8506042","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Quetta International Airport","173.7","30.2514","66.9377976","Kabul","457.5","34.5167","69.1833","Nijniy Pyanj","682",,"http://recca.af/?page_id=2108","Kandahar","19","37.19448","68.59812","No Information","1",,"Under Development","13","4/24/2021 6:57","fergal hourigan","11/19/2021 9:16","fergal hourigan"
"Zaranj Special Economic Zone","30.9601137","61.8505072","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Zahedan International Airport","188.6","29.4757004","60.9062004","Kabul","792.3","34.5167","69.1833","Jask","712.8",,"http://recca.af/?page_id=2108","Zaranj","17.3","25.65083","57.7827","No Information","1",,"Under Development","14","4/24/2021 6:57","fergal hourigan","11/19/2021 9:16","fergal hourigan"
"Helmand Special Economic Zone","31.5592098","64.3588791","Middle East","Afghanistan","Diversified Zone","N/A","Public","Afghanistan Airfield Economic Development Commission (AAEDC)","Presidential Decree %2343 July 2015, Afghanistan Customs Law 2005.","Quetta International Airport","286.1","30.2514","66.9377976","Kabul","557.6","34.5167","69.1833","Nijniy Pyanj","738.2",,"http://recca.af/?page_id=2108","Lashkar Gah","2.7","37.19448","68.59812","No Information","1",,"Under Development","15","4/24/2021 6:57","fergal hourigan","11/19/2021 9:16","fergal hourigan"
"Koplik Technical and Economic Development Area","42.2168819","19.4395578","Europe","Albania","Diversified Zone","N/A","Public","Albania Investment Development Agency","Law No. 7764 Dated 02.11.1993, Law No. 55/2015, Law No. 9789 Dated 19.07.2007, Dcm 646: 22.07.2015, Dcm 647: 22.07.2015","Podgorica Airport","22.1","42.359402","19.2519","Tirane","102","41.3464559","19.8250829","Bar","32.2","http://www.investinsee.com/country/albania%23:~:text=There%20are%20three%20active%20free,zones%20through%20a%20public%20tender.","http://aida.gov.al/en/","Shkodër","17.8","42.08503","19.0919","61","4",,"Active","16","4/24/2021 6:57","fergal hourigan","11/19/2021 9:16","fergal hourigan"
"Spitalle/Spitalla Technical and Economic Development Area","41.336134","19.449754","Europe","Albania","Diversified Zone","Tech","Public","Albania Investment Development Agency","Law No. 7764 Dated 02.11.1993, Law No. 55/2015, Law No. 9789 Dated 19.07.2007, DCM 646: 22.07.2015, DCM 647: 22.07.2015","Tirana International Airport Mother Teresa","24.3","41.4146996","19.7206001","Tirane","31.4","41.3464559","19.8250829","Shengjin","54.6","http://www.investinsee.com/country/albania%23:~:text=There%20are%20three%20active%20free,zones%20through%20a%20public%20tender.","http://aida.gov.al/en/","Durrës","2","41.81483","19.5951","209","5",,"Active","17","4/24/2021 6:57","fergal hourigan","11/19/2021 9:17","fergal hourigan"
